company,newsroom_page,tag,link,year,base
Amazon,0,a,/news-releases/news-release-details/amazon-announces-best-books-2019-naming-margaret-atwoods,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-new-amazon-robotics-innovation-hub-and-plans,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/highly-anticipated-animated-series-critical-role-legend-vox,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/kacey-musgraves-christmas-show-premieres-friday-november-29,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/applications-now-open-100-amazon-future-engineer-40000-college,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-fast-free-and-convenient-delivery-options,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-amazon-small-business-academy-range-educational,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-open-data-centers-spain,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-prime-video-orders-second-season-modern-love,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-24-700-billion,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-three-new-renewable-energy-projects-us-and-uk,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-adds-thousands-new-locations-free-package-pickup-across,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazons-future-engineer-program-now-funding-computer-science,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/intersect-music-festival-announces-full-2019-lineup,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/old-mutual-limited-selects-aws-its-preferred-cloud-provider,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-live-stream-behind-scenes-educational-tour,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-us-small-business-spotlight-awards-finalists,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/howard-university-joins-amazon-studios-launch-howard,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-expands-illinois-channahon-fulfillment-center,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazoncom-webcast-third-quarter-2019-financial-results,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-first-fulfillment-center-idaho,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-launches-amazonsg-offering-all-customers-singapore-more,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/introducing-all-new-fire-hd-10-brilliant-101-full-hd-display,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-new-kindle-kids-edition-fire-hd-10-kids-edition,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazoncom-inc-announces-redemption-its-2600-notes-due-december-5,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/alexa-and-amazon-echo-now-available-brazil,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-aws-iq,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-eero-mesh-wifi-system-simple-reliable-home,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-array-new-devices-and-features-help-make-your,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-introduces-8-new-echo-devices,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-prime-video-launches-new-features-thursday-night-football,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-and-leading-technology-companies-announce-voice,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-publishing-acquires-academy-award-winner-guillermo-del,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-expands-ontario-new-fulfillment-centre-scarborough,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/aws-announces-general-availability-amazon-ec2-g4-instances,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/nominations-new-amazon-small-business-awards-open-now,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-co-founds-climate-pledge-setting-goal-meet-paris,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/shop-amazon-pay-cash,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-career-day-more-200000-applications-jobs-amazon,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-studios-announces-new-zealand-location-its-upcoming,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-music-introduces-highest-quality-audio-streaming-amazon,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-expands-chicago-tech-hub-and-announces-plans-create-400,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-launch-amazon-music-brazil-bringing-customers,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-announces-new-dallas-fort-worth-regional-air-hub-start,2019,https://press.aboutamazon.com
Amazon,0,a,/news-releases/news-release-details/amazon-donation-brings-new-robotics-program-and-computer-science,2019,https://press.aboutamazon.com
