company,rank,fortune_link,co_website
Best Buy,75,https://fortune.com/company/best-buy/fortune500/,https://corporate.bestbuy.com
United Airlines Holdings,76,https://fortune.com/company/united-continental-holdings/fortune500/,https://www.united.com/
Liberty Mutual Insurance Group,77,https://fortune.com/company/liberty-mutual-insurance-group/fortune500/,https://www.libertymutual.com/
Dow,78,https://fortune.com/company/dow/fortune500/,https://www.dow.com/
Tyson Foods,79,https://fortune.com/company/tyson-foods/fortune500/,https://www.tysonfoods.com/
TJX,80,https://fortune.com/company/tjx/fortune500/,https://www.tjx.com/
TIAA,81,https://fortune.com/company/tiaa/fortune500/,https://www.tiaa-cref.org/
Oracle,82,https://fortune.com/company/oracle/fortune500/,https://www.oracle.com/
General Dynamics,83,https://fortune.com/company/general-dynamics/fortune500/,https://www.gd.com/
Deere,84,https://fortune.com/company/deere/fortune500/,https://www.deere.com/
Nike,85,https://fortune.com/company/nike/fortune500/,https://www.nike.com/
Progressive,86,https://fortune.com/company/progressive/fortune500/,https://www.progressive.com/
Publix Super Markets,87,https://fortune.com/company/publix-super-markets/fortune500/,https://www.publix.com/
Coca-Cola,88,https://fortune.com/company/coca-cola/fortune500/,https://www.coca-colacompany.com/
Massachusetts Mutual Life,89,https://fortune.com/company/massachusetts-mutual-life-insurance/fortune500/,https://www.massmutual.com/
Tech Data,90,https://fortune.com/company/tech-data/fortune500/,https://www.techdata.com/
World Fuel Services,91,https://fortune.com/company/world-fuel-services/fortune500/,https://www.wfscorp.com/
Honeywell International,92,https://fortune.com/company/honeywell-international/fortune500/,https://www.honeywell.com/
ConocoPhillips,93,https://fortune.com/company/conocophillips/fortune500/,https://www.conocophillips.com/
USAA,94,https://fortune.com/company/usaa/fortune500/,https://www.usaa.com/
Exelon,95,https://fortune.com/company/exelon/fortune500/,https://www.exeloncorp.com/
Northrop Grumman,96,https://fortune.com/company/northrop-grumman/fortune500/,https://www.northropgrumman.com/
Capital One Financial,97,https://fortune.com/company/capital-one-financial/fortune500/,https://www.capitalone.com/
Plains GP Holdings,98,https://fortune.com/company/plains-gp-holdings/fortune500/,https://www.plainsallamerican.com/
AbbVie,99,https://fortune.com/company/abbvie/fortune500/,https://www.abbvie.com/
StoneX Group,100,https://fortune.com/company/stonex-group/fortune500/,https://www.stonex.com/
