company,rank,fortune_link,co_website,newsroom_link,pressroom_link,corporate_link,final
JPMorgan Chase,17,https://fortune.com/company/jpmorgan-chase/fortune500/,https://www.jpmorganchase.com/,https://www.jpmorganchase.com/news-stories,https://www.jpmorganchase.com/news-stories,https://www.jpmorganchase.com/about/governance/corporate-governance-principles,https://www.jpmorganchase.com/news-stories/news
General Motors,18,https://fortune.com/company/general-motors/fortune500/,https://www.gm.com/,https://www.gm.com/content/public/us/en/gm/home/our-stories/sustainability/renewable-energy-sustainable-strategy.html,https://www.gm.com/our-stories.html,https://www.gm.com/corporate-offers.html,https://plants.gm.com/media/us/en/gm/news/news_archive.year.All.month.All.html
Walgreens Boots Alliance,19,https://fortune.com/company/walgreens-boots-alliance/fortune500/,https://www.walgreensbootsalliance.com/,https://www.walgreensbootsalliance.com/news-media/our-stories/bringing-pharmacy-forefront-pharmacogenetics,https://www.walgreensbootsalliance.com/our-business,https://www.walgreensbootsalliance.com/corporate-social-responsibility/healthy-communities,https://www.walgreensbootsalliance.com/news-media/press-releases/archive
Verizon Communications,20,https://fortune.com/company/verizon/fortune500/,https://www.verizon.com/,https://www.verizon.com/about/news,https://www.verizon.com/about/accessibility/overview/,https://www.verizon.com/info/reportsecurityvulnerability/,https://www.verizon.com/about/media-center
Microsoft,21,https://fortune.com/company/microsoft/fortune500/,https://www.microsoft.com/,https://news.microsoft.com/covid-19-response/?icid=mscom_marcom_BM1a_covid19response,https://www.microsoft.com/en-us/store/b/accessories?icid=CNavDevicesAccessories,https://www.microsoft.com/en-us/microsoft-teams/free?icid=SSM_AS_Promo_Apps_MicrosoftTeams,https://news.microsoft.com/category/press-releases/
Marathon Petroleum,22,https://fortune.com/company/marathon-petroleum/fortune500/,https://www.marathonpetroleum.com/,https://www.marathonpetroleum.com/Investors/,https://www.marathonpetroleum.com/Sustainability/Reports-and-Policies/,https://www.marathonpetroleum.com/Investors/Corporate-Governance/,https://www.marathonpetroleum.com/Newsroom/Company-News/
Kroger,23,https://fortune.com/company/kroger/fortune500/,https://www.thekrogerco.com/,https://www.thekrogerco.com/#newsletter-modal,https://www.thekrogerco.com/about-kroger/our-business/,https://www.thekrogerco.com/vendors-suppliers/corporate-social-responsibility/,http://ir.kroger.com/CorporateProfile/press-releases/default.aspx
Fannie Mae,24,https://fortune.com/company/fannie-mae/fortune500/,https://www.fanniemae.com/,https://www.fanniemae.com/newsroom,https://capitalmarkets.fanniemae.com/,https://www.fanniemae.com/about-us/corporate-governance/online-privacy-notice,https://www.fanniemae.com/newsroom/fannie-mae-news
Bank of America,25,https://fortune.com/company/bank-of-america-corp/fortune500/,https://www.bankofamerica.com/,https://www.bankofamerica.com/smallbusiness,https://www.bankofamerica.com/smallbusiness,https://www.bankofamerica.com/deeplink/redirect.go?target=deals_expiry&screen=Deals:Entry&SortedBy=ExpiringSoon&version=7.1.0&cm_sp=OLB-BankAmeriDeals-Offers-_-BankAmeriDeals-_-DZT1QUOU01_Highlights_NH_BAMD_IconUpdate_G3_dealsAllDayHLCta,https://newsroom.bankofamerica.com/content/newsroom/press-releases.html
Home Depot,26,https://fortune.com/company/home-depot/fortune500/,https://www.homedepot.com/,https://www.homedepot.com/b/Heating-Venting-Cooling-Air-Conditioners/N-5yc1vZc4me?cm_sp=popcats-_-airconditioners-_-MAR21,https://www.homedepot.com/s/pressure%2520washer?NCNI-5,https://corporate.homedepot.com/,https://corporate.homedepot.com/newsroom
